PARK ID,PARK NAME,CLASSIFICATION,FULL ADDRESS,CITY,ZIP,RECREATION CENTER,FITNESS CENTER,STADIUM,ADULT LEISURE PROGRAM,PLAYGOUND,RESTROOM,SWIMMING POOL,SPRAY PAD,AQUATIC CENTER,INDOOR BASKETBALL,OUTDOOR BASKETBALL,BASEBALL UNLIGHTED,BASEBALL LIGHTED,SOCCER FIELD,RUGBY FIELD,INDOOR TENNIS COURT,TENNIS UNLIGHTED,TENNIS LIGHTED,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,DISC GOLF,BOCCE BALL,CROQUET,FISHING LAKE,DOG PARK,SKATE PARK,CYCLING VELODROME,BMX TRACK,MOUNTAIN BIKE TRAIL,WALKING PATH SURFACED,WALKING LOOP,EQUESTRIAN,ARCHERY  RANGE,AIRGUN RANGE,GEOLOCATION
176,West Brookstown Park,Neighborhood,4500 E BROOKSTOWN DR,BATON ROUGE,70805,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"4500 E BROOKSTOWN DR
BATON ROUGE 70805
(30.492034, -91.12831)"
161,Spain Street Park,Neighborhood,2101 SPAIN ST,BATON ROUGE,70806,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"2101 SPAIN ST
BATON ROUGE 70806
(30.44489, -91.166629)"
115,Mary J. Lands Park,Neighborhood,802 N 30TH ST,BATON ROUGE,70802,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"802 N 30TH ST
BATON ROUGE 70802
(30.455781, -91.158691)"
133,Palomino Drive Park,Neighborhood,14100 PALOMINO DR,GREENWELL SPRINGS,70739,1,,,,1,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,"14100 PALOMINO DR
GREENWELL SPRINGS 70739
(30.574991, -91.011592)"
85,Jackson Community Park,Community,12250 SULLIVAN RD,CENTRAL,70818,1,,,,1,4,,,,,,,1,1,,,3,,,,,,,,,,,,,,,,,,"12250 SULLIVAN RD
CENTRAL 70818
(30.558812, -91.040128)"
91,Jones Creek Park,Neighborhood,12300 OLD HAMMOND HWY,BATON ROUGE,70816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12300 OLD HAMMOND HWY
BATON ROUGE 70816
(30.44131, -91.042472)"
43,Convention Street Park,Neighborhood,717 CONVENTION ST,BATON ROUGE,70801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"717 CONVENTION ST
BATON ROUGE 70801"
34,Church Street Park,Neighborhood,3210 CHURCH ST,ZACHARY,70791,1,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,"3210 CHURCH ST
ZACHARY 70791
(30.651676, -91.169348)"
75,Hamilton Avenue Park,Neighborhood,16200 HAMILTON AVE,BATON ROUGE,70819,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,"16200 HAMILTON AVE
BATON ROUGE 70819
(30.481677, -91.007306)"
109,Lovett Road Park,Neighborhood,13443 LOVETT RD,CENTRAL,70818,1,,,1,1,6,,,,1,,,10,,,,2,,,,,,,,,,,,,,,,,,"13443 LOVETT RD
CENTRAL 70818
(30.523458, -91.039258)"
94,Kernan Avenue Park,Neighborhood,333 KERNAN AVE,BATON ROUGE,70802,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,"333 KERNAN AVE
BATON ROUGE 70802"
23,Brookfield Avenue Park,Neighborhood,17650 BROOKFIELD AVE,BATON ROUGE,70817,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"17650 BROOKFIELD AVE
BATON ROUGE 70817
(30.358224, -91.000308)"
52,Duchess Drive Park,Neighborhood,1701 DUCHESS DR,BATON ROUGE,70815,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"1701 DUCHESS DR
BATON ROUGE 70815
(30.468875, -91.040649)"
178,Woodlawn Walking Trail,Neighborhood,14939 TIGER BEND RD,BATON ROUGE,70817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14939 TIGER BEND RD
BATON ROUGE 70817
(30.3913, -91.016163)"
48,Dover Street Park,Neighborhood,7300 DOVER ST,BATON ROUGE,70812,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"7300 DOVER ST
BATON ROUGE 70812
(30.49948, -91.116978)"
160,South Magnolia Park,Neighborhood,2409 S MAGNOLIA DR,BAKER,70714,,,,,1,1,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,"2409 S MAGNOLIA DR
BAKER 70714
(30.57661, -91.17808)"
44,Corporate Parkway,Neighborhood,333 E GRANT ST,BATON ROUGE,70802,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333 E GRANT ST
BATON ROUGE 70802
(30.423117, -91.177956)"
